feature,importance
uranus_altitude_deg,0.0016118334045947726
lunar_node_ascending_utc,0.0015696489829468085
vedic_spashth_ketu_right_ascension,0.0015317269545023016
uranus_sin_alt,0.0015219084656729362
vedic_lagna_padam,0.0014926049188892041
vedic_spashth_rahu_full_degree,0.001396766729788713
vedic_shani_full_degree,0.0013860329402042557
vedic_spashth_ketu_full_degree,0.001376570992641834
vedic_rahu_right_ascension,0.0013230977974096696
vedic_chandra_padam,0.0013183754560820882
vedic_ketu_full_degree,0.0013065848992250021
vedic_spashth_rahu_right_ascension,0.0013019616046182003
vedic_ketu_right_ascension,0.0012804263785547538
vedic_rahu_declination,0.001278469021904694
vedic_rahu_full_degree,0.0012779969465272715
neptune_sin_alt,0.0012697355328567278
neptune_altitude_deg,0.0012632863532537452
drik_ritu,0.001258468774221563
vedic_shani_speed_deg_per_day,0.001242226320127913
vedic_arun_speed_deg_per_day,0.0012314822065997322
vedic_ketu_declination,0.0011971247455950787
vedic_arun_right_ascension,0.0011311960639436994
vedic_ritu,0.0011077303340453059
vedic_spashth_rahu_declination,0.001100811869506458
vedic_spashth_rahu_nakshatra,0.0010931385338455576
vedic_shani_declination,0.0010359868616002775
vedic_spashth_ketu_declination,0.001002376362633043
vedic_guru_padam,0.0009038854476983933
vedic_guru_nakshatra,0.0008832980407616304
vedic_varun_right_ascension,0.0008379910524976241
vedic_rahu_nakshatra,0.0007739131413921261
vedic_varun_full_degree,0.0007374033363607103
vedic_shani_padam,0.0007339753284316028
vedic_arun_declination,0.0005826000693517902
vedic_spashth_ketu_nakshatra,0.0005445306100335719
vedic_ketu_nakshatra,0.0005161919383783882
vedic_spashth_rahu_padam,0.0005103606914885971
vedic_shani_nakshatra,0.000477935603724023
vedic_rahu_padam,0.0004762675450826204
vedic_arun_padam,0.0004715966833761177
vedic_varun_declination,0.0004518836353462335
vedic_ketu_padam,0.00043279461318720556
vedic_spashth_ketu_padam,0.00043047374074991714
samvatsara,0.00042386778799885565
vedic_yam_speed_deg_per_day,0.0003280535998099466
paksha,0.00030127083379479674
vedic_surya_speed_deg_per_day,0.0002436645318055134
vedic_yam_padam,0.00020760926818803407
vedic_varun_padam,0.0001995434339989311
vedic_varun_nakshatra,0.00018294392186090448
month,0.0001805917381551466
vedic_arun_nakshatra,0.0001802783589162066
vedic_yam_nakshatra,0.00013162869521871512
vedic_ayana,5.814851547772942e-05
drik_ayana,3.726702605647393e-05
vedic_ketu_speed_deg_per_day,0.0
vedic_rahu_speed_deg_per_day,0.0
cone_point_count,0.0
cone_area_deg2,0.0
cone_lon_min,0.0
cone_lon_max,0.0
cone_lat_min,0.0
cone_lat_max,0.0
cone_lon_spread,0.0
cone_lat_spread,0.0
