,count,unique,top,freq,mean,min,25%,50%,75%,max,std
mercury_azimuth_deg,47533.0,,,,179.85154870391196,0.017745179042199577,94.46085817979932,178.20093189479735,265.5866287931371,359.99339684368624,94.20704482220242
mercury_sin_alt,47533.0,,,,0.0299238956504053,-0.9999957706455999,-0.588523124320027,0.02876989280282864,0.6473752118275669,0.9999394343719523,0.6398889382163463
mercury_cos_alt,47533.0,,,,0.7296637186522611,0.002908382869040391,0.5744508141433664,0.7863030594768519,0.9413899664043704,0.9999999998851467,0.23926425443870408
mercury_sin_az,47533.0,,,,0.005039535969066925,-0.99999999982451,-0.9230282225631189,0.018524456042673988,0.9247885281094215,0.9999999999690895,0.8460383737311636
mercury_cos_az,47533.0,,,,-0.05245725166036793,-0.9999999644487091,-0.4271551248152744,-0.07733176947400401,0.3207816340951815,0.9999999933590854,0.5305307625679384
venus_ra_hours,47533.0,,,,12.110098871033049,1.919188296687878e-05,8.58500582003382,11.912935643843317,16.069623756738082,23.99999968325089,5.967112588911445
venus_dec_deg,47533.0,,,,-0.349511465662628,-27.246862924121135,-16.159899144067065,1.7429765096668934,12.64646358161411,27.600721870042733,15.83327774858171
venus_ecliptic_lon_deg,47533.0,,,,180.5668871010829,0.0134199259691767,125.13801578961704,177.58471242772782,241.7401822287469,359.98652329750905,89.20840693366513
venus_ecliptic_lat_deg,47533.0,,,,-0.33733174678650446,-8.096162605050221,-1.5864902239480065,-0.18206903760982382,1.3037517956297018,8.56508761428138,2.7455674746428897
venus_altitude_deg,47533.0,,,,2.3750794653779415,-89.91016610246483,-35.90358217063964,1.602000426346844,40.06276574269931,89.43558417361206,44.08302093030326
venus_azimuth_deg,47533.0,,,,179.86610646338497,0.014460598629811788,92.33685697332379,178.97673381321175,267.3408680007639,359.98734650557213,95.96464771512738
venus_sin_alt,47533.0,,,,0.028698855745379916,-0.9999987708492929,-0.5864229999374729,0.027956539120286075,0.6436264016680502,0.9999514801339195,0.6390804265861376
venus_cos_alt,47533.0,,,,0.7296157663691315,0.0015678966494939853,0.575802027476224,0.7886520028217527,0.9417976722372189,0.9999999999940965,0.2417089965932786
venus_sin_az,47533.0,,,,0.0024439689302112816,-0.9999999989132666,-0.9252197546863096,0.011172857874960246,0.9251877836356545,0.9999999999642322,0.8457412431325103
venus_cos_az,47533.0,,,,-0.024878915706069232,-0.9999999980204474,-0.3985548942673982,-0.04342274911415523,0.35405855578533013,0.9999999756137122,0.5330270551712176
mars_ra_hours,47533.0,,,,11.019972721376542,0.0030413980995826584,5.191706163713728,10.881263165274547,16.250037646205527,23.999820917592643,6.590136575396353
mars_dec_deg,47533.0,,,,1.6039516299215109,-26.559751039050564,-14.935883775194483,4.765141079398176,18.515645253352847,26.281000372936138,17.281377937181276
mars_ecliptic_lon_deg,47533.0,,,,165.21082349054973,0.011738085015589041,79.19639811781816,161.71333435542562,246.09437750305864,359.9535510022705,97.94318087765838
mars_ecliptic_lat_deg,47533.0,,,,-0.3023387385281534,-6.588352221479298,-1.085329530458184,0.3636212557298368,1.0526632719007916,4.32969576089349,2.0999746650973816
mars_altitude_deg,47533.0,,,,0.9223872628826635,-89.93467148933065,-36.554492157529424,0.8247106035047489,38.587777340530714,89.35285031997047,43.99279303782439
mars_azimuth_deg,47533.0,,,,180.3630521338088,0.009102801169318447,87.85541125693871,179.52561901942695,272.5388272205972,359.97942749842105,99.23941068084709
mars_sin_alt,47533.0,,,,0.011163754070972302,-0.9999993499747794,-0.5955870398060834,0.01439341837900027,0.6237128641513282,0.9999362133779233,0.6369628618527808
mars_cos_alt,47533.0,,,,0.7315231379179027,0.001140197359551982,0.5806973436335767,0.7934051287162155,0.9429806664657527,0.999999991602291,0.2429760472026529
mars_sin_az,47533.0,,,,0.003382069042889288,-0.9999999998319664,-0.9175196008342833,0.0027009490061339174,0.9183130260095679,0.9999999990249449,0.8400537404875345
mars_cos_az,47533.0,,,,0.024424006611780246,-0.9999999845237147,-0.3733343386504653,0.04114798567610526,0.4207164336600078,0.9999999873795496,0.5419619620143641
jupiter_ra_hours,47533.0,,,,12.428111636375188,5.066102316830504e-05,5.151490910572473,14.764507310781438,18.81241994875669,23.999999536890495,7.337603469543889
jupiter_dec_deg,47533.0,,,,-4.7010516716560895,-23.306766075979116,-19.37056150667717,-9.8782018244642,13.350957586446928,23.278512945255162,16.437138829396478
jupiter_ecliptic_lon_deg,47533.0,,,,187.9685437047327,0.001457327271363721,78.87852874645927,224.16501167526891,284.3713965750568,359.99741364023663,109.25107054363943
jupiter_ecliptic_lat_deg,47533.0,,,,-0.17811827122317925,-1.6216578294523305,-1.0621892051699908,-0.3706842713945261,0.6441816857063883,1.5824348154676349,0.9190831636415192
jupiter_altitude_deg,47533.0,,,,-0.7225718742691154,-89.55690208271243,-38.29219083027894,-0.5601868059222976,37.0206016712087,89.6638602557238,44.14940333175912
jupiter_azimuth_deg,47533.0,,,,179.91442667255686,0.047909807027531094,98.85912206887338,179.52362070402114,261.1179736180081,359.9803751761676,91.84066423687815
jupiter_sin_alt,47533.0,,,,-0.00943912858418951,-0.9999700965020706,-0.6196720643756097,-0.009776948421875887,0.6021021472116567,0.999982790699244,0.6379843990055487
jupiter_cos_alt,47533.0,,,,0.7299235989795246,0.005866711630198193,0.5802456226279185,0.7917195584909276,0.9436688059663515,0.9999999999679411,0.2451696895334057
jupiter_sin_az,47533.0,,,,0.0018425715655889202,-0.9999999940189485,-0.9234777280401449,0.004855741338385505,0.9248028873796077,0.9999999996144733,0.8433239607772267
jupiter_cos_az,47533.0,,,,-0.09173990613689921,-0.9999999971058015,-0.4566305763737381,-0.1541966818637261,0.288368046507817,0.999999941340782,0.5295337128585985
saturn_ra_hours,47533.0,,,,19.719662886933616,0.0001192019220323742,18.437078621604705,20.09789848595296,22.136747836109322,23.999559345113205,4.102304769755096
saturn_dec_deg,47533.0,,,,-16.833497850811945,-22.78054575016712,-22.077776886092146,-19.417812562118492,-12.34493976055197,-1.4628067111758525,6.38821423997296
saturn_ecliptic_lon_deg,47533.0,,,,295.812984638522,0.006307832229638472,276.6080733734883,300.0991141281145,330.5505663961776,359.9974860899765,58.63681055309586
saturn_ecliptic_lat_deg,47533.0,,,,-0.5336649297744142,-2.5120421841440255,-1.641333343910529,-0.4322784573678561,0.5123968693885547,1.7104294554638504,1.1789704436193953
saturn_altitude_deg,47533.0,,,,-4.076011142536612,-89.60740045849494,-41.59060844626673,-3.1732595068592166,33.30747391264687,89.59594793017311,43.84040322553885
saturn_azimuth_deg,47533.0,,,,179.94297383464294,0.03135734691870186,109.63273078857618,179.95543926891082,250.1025232152776,359.9453324029411,74.76870971122976
saturn_sin_alt,47533.0,,,,-0.05147780512839132,-0.9999765240802411,-0.6638036295055993,-0.05535551699210662,0.5491318397029493,0.9999751344762468,0.6341482371539001
saturn_cos_alt,47533.0,,,,0.7314655664909019,0.0068521010207886505,0.5829527184300565,0.7968546052446839,0.9440700731060804,0.9999999999709094,0.24530368970496136
saturn_sin_az,47533.0,,,,0.0008713144934880807,-0.99999999236249,-0.920807997704049,0.0007732507015824026,0.9224414439787081,0.9999999999683649,0.8416743313500649
saturn_cos_az,47533.0,,,,-0.33046885728429226,-0.9999999952561132,-0.6282322779900726,-0.3378919740692114,-0.1271727110732153,0.9999998502374072,0.42707450867737556
uranus_ra_hours,47533.0,,,,2.5917087534139718,1.2665350562991948,1.996599864992992,2.534223586942117,3.201043884994211,3.9344162100152014,0.7194342028398317
uranus_dec_deg,47533.0,,,,14.462090719137503,7.378417947868787,11.628029110984361,14.458643104383066,17.541381361678393,20.17185053566538,3.451667792019785
uranus_ecliptic_lon_deg,47533.0,,,,41.285345098107136,20.55792909067764,32.18067247372475,40.56032408649617,50.69370692014412,61.46382584014747,11.017037039546361
